Scenario,Sortie ID,Service Area ID,Model ID,Cargo Box ID List,Total Mass (kg),Total Volume (m³),Round-Trip Time (s),Sortie Energy (kWh),Return SOC (%),Operation Time (s),Batch ID
r0.20_a1.0_b0.9,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.389906576687003,57.62616779141246,1907.5754478361764,S007|C|00031
r0.20_a1.0_b0.9,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.822707298380856,27.216158770239296,2199.7120845921745,S008|C|00031
r0.20_a1.0_b0.9,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,2.0890412993381355,47.77396751654661,1558.4422473944055,S009|B|00007
r0.20_a1.0_b0.9,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.8106321650557389,54.73419587360653,1555.376902446339,S010|B|00007
r0.20_a1.0_b0.9,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,1.0662009466803517,73.34497633299121,1188.4236501116584,S011|B|00007
r0.20_a1.0_b0.9,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.7393863769969995,31.51534057507501,1922.7345559700407,S012|B|00007
r0.20_a1.0_b0.9,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.8143383953363028,54.64154011659244,1510.4702802929446,S013|B|00007
r0.20_a1.0_b0.9,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,2.1186363476801047,47.034091307997386,1869.7521946190163,S014|B|00007
r0.20_a1.0_b0.9,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.2899638557638973,42.750903605902565,1828.2885840204503,S015|B|00007
r0.20_a1.0_b1.0,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.9175913912014897,63.53010760998138,1692.1703918789085,S001|C|01022
r0.20_a1.0_b1.0,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,2.9957785952005276,62.552767559993406,1494.1703918789085,S001|C|31745
r0.20_a1.0_b1.0,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.7134213129890177,32.16446717527456,1816.6939339219116,S002|B|00026
r0.20_a1.0_b1.0,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.721222591582658,28.48471760521678,2041.8120186387084,S002|C|00229
r0.20_a1.0_b1.0,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.7799701446244454,30.500746384388865,2080.5430982758826,S003|B|00026
r0.20_a1.0_b1.0,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.765077516422236,27.936531044722045,2370.1111443370805,S003|C|00229
r0.20_a1.0_b1.0,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,6.152957431097441,23.088032111281986,2301.061066593226,S004|C|00063
r0.20_a1.0_b1.0,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,4.222219779656905,47.22225275428868,1877.1951581955423,S005|C|00063
r0.20_a1.0_b1.0,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.598020735971614,67.52474080035482,1561.5595259403467,S006|C|00063
r0.20_a1.0_b1.0,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.4109419730052095,57.363225337434876,1907.5754478361764,S007|C|00031
r0.20_a1.0_b1.0,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.836069261929085,27.04913422588644,2199.7120845921745,S008|C|00031
r0.20_a1.0_b1.0,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,2.096235103068041,47.59412242329898,1558.4422473944055,S009|B|00007
r0.20_a1.0_b1.0,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.8231886104366914,54.42028473908272,1555.376902446339,S010|B|00007
r0.20_a1.0_b1.0,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,1.0739602222254718,73.1509944443632,1188.4236501116584,S011|B|00007
r0.20_a1.0_b1.0,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.7523988780677637,31.190028048305905,1922.7345559700407,S012|B|00007
r0.20_a1.0_b1.0,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.8247538307943802,54.381154230140496,1510.4702802929446,S013|B|00007
